,id,host_is_superhost,host_listings_count,host_identity_verified,accommodates,price,number_of_reviews,review_scores_rating,review_scores_location,reviews_per_month
4070,36960357,0,5,1,1,100.0,31,4.74,4.81,0.85
4071,36977242,1,1,1,3,189.0,39,4.82,4.97,1.06
4072,36994569,0,1,0,2,100.0,1,5.0,5.0,0.03
4073,37010434,0,1,0,2,71.0,8,4.88,4.88,0.21
4074,37028840,0,1,0,6,130.0,5,4.75,4.25,0.13
4075,37029805,0,2,1,4,154.0,129,4.64,4.58,3.61
4076,37034621,0,1,0,2,85.0,6,4.83,5.0,0.16
4077,37081710,0,1,1,6,192.0,22,4.32,4.86,0.58
4078,37092704,0,2,1,2,70.0,12,4.64,4.91,0.32
4079,37107622,1,2,1,1,85.0,107,4.95,4.9,2.81
4080,37111467,0,2,0,4,85.0,22,4.55,4.91,0.58
4081,37160190,0,2,1,2,40.0,20,4.45,4.8,0.53
4082,37174188,0,1,1,2,80.0,2,5.0,5.0,0.05
4083,37192109,0,2,1,6,120.0,5,5.0,5.0,0.14
4084,37199428,0,2,0,2,100.0,7,4.5,4.67,0.19
4085,37207238,0,1,1,2,55.0,12,5.0,4.92,0.33
4086,37211363,0,1,1,2,120.0,7,4.29,4.14,0.21
4087,37226483,0,2,0,6,150.0,2,5.0,4.5,0.06
4088,37236120,1,1,0,2,105.0,42,4.9,4.76,1.11
4089,37242673,0,7,1,4,94.0,9,4.56,4.78,0.25
4090,37248338,0,1,1,2,65.0,7,4.86,4.71,0.19
4091,37253728,0,2,1,4,140.0,4,3.5,4.25,0.64
4092,37273181,0,1,0,2,195.0,6,3.67,4.67,0.16
4093,37282119,0,3,1,2,500.0,10,4.22,4.89,0.27
4094,37288548,1,1,1,6,288.0,81,4.78,4.83,2.2
4095,37306419,0,1,0,2,50.0,25,4.88,4.68,0.67
4096,37310316,0,2,0,2,59.0,4,4.75,4.75,0.11
4097,37318865,0,7,1,2,50.0,6,4.33,4.67,0.16
4098,37376225,0,1,1,4,150.0,2,4.5,2.5,0.06
4099,37377666,0,1,1,1,450.0,9,4.11,5.0,0.25
4100,37394907,0,2,0,2,59.0,8,4.63,5.0,0.21
4101,37421258,1,3,1,1,50.0,44,4.98,4.86,1.2
4102,37422266,0,1,1,2,80.0,10,5.0,4.9,0.29
4103,37444687,0,1,1,2,275.0,18,5.0,5.0,0.48
4104,37474447,0,1,0,1,75.0,11,5.0,5.0,0.3
4105,37487591,1,1,0,2,89.0,94,4.98,4.83,2.5
4106,37490747,0,1,1,1,80.0,16,5.0,4.75,1.8
4107,37495236,0,1,1,2,65.0,5,4.2,4.4,0.13
4108,37523477,1,5,1,4,85.0,6,5.0,5.0,0.16
